,principal component 1,principal component 2,principal component 3,principal component 4,P. Habitable Class,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,principal component 11,principal component 12,principal component 13,principal component 14,principal component 15,principal component 16,principal component 17,principal component 18,principal component 19,principal component 20,principal component 21,principal component 22
1923,-2.302483159,-0.908635335,-0.242615532,0.982963337,0,0.39117871,-0.012955762,0.029673799,-0.209532918,0.794116675,0.467513339,-0.06391738,0.164774155,-0.297870452,-0.305709588,-0.689106911,-0.112034467,0.01310045,0.043800334,0.091291095,0.078535543,0.092199837,-0.061986751
1924,-1.302633043,2.178734945,-0.07081687,0.281845179,0,-0.613309232,-0.271982369,0.19276288,-0.000536777,0.143780586,0.306628728,0.405806589,0.169934015,-0.572352689,-0.284450727,0.0736827,0.126004416,0.012128666,0.67329796,0.258441729,0.6322307,-0.330783978,0.007247314
1925,-0.857493017,-0.335706395,-0.615041365,0.515841765,0,0.018248413,-0.470950043,-0.848326619,-0.459355198,0.800961885,0.292098959,0.130473356,0.206917355,-0.439651857,-0.155707966,-0.103382054,0.392490091,-0.293397651,0.704884987,0.118476708,0.425713571,-0.230007958,-0.055236318
1926,-2.746213697,2.577547287,0.684312207,0.867759303,0,-0.109938356,0.221707113,1.840510595,0.996005367,-1.836099454,0.723405429,-1.351907102,0.522099363,-0.319612192,-0.155675337,-1.05949236,0.316021016,-0.013951639,-0.084903933,-0.087442835,0.123441461,0.005846504,0.210985103
1927,-1.90149318,0.456058378,-0.05889621,0.635514176,0,-0.050119529,0.064323032,0.285768138,-0.067067446,0.668338154,0.163712227,0.584973821,0.31073267,-0.373723771,-0.188859735,-0.421580127,-0.300328342,0.37734743,-0.712406123,-0.030787769,-0.081440706,0.137079435,0.155951732
1928,-1.632797894,-0.248492952,-0.186290554,0.681437248,0,0.06816498,0.010323315,-0.066845849,-0.20585049,0.888290186,0.143306851,0.513706343,0.326556487,-0.36273351,-0.158962791,-0.515527077,-0.171627323,0.293572248,-0.7483723,-0.087381226,-0.148686144,0.198215851,0.164164388
1929,-2.765551571,2.592082691,0.353259931,1.002822635,0,-0.417509497,0.066550369,1.265408788,0.531512044,-0.445069583,0.159717871,0.137343393,0.05433161,-0.10027782,-0.274158744,0.032579581,-0.650154263,0.277635411,0.025257919,0.191007355,0.465404625,-0.267612072,0.051833395
1930,-1.845917106,1.065218529,-0.122487641,0.818918098,0,-0.235862133,-0.030862894,0.24850251,0.006216224,0.424520439,0.090482024,0.393884316,0.031788319,-0.081713216,-0.077348067,0.1816169,-0.446399973,0.246579712,-0.666190813,-0.005227301,-0.102541619,0.018820633,-0.003403702
1931,-1.79544061,0.768957595,-0.270940007,0.967201867,0,0.113300623,0.20002112,0.629304979,-0.061933707,0.777384673,0.622349537,0.497196643,0.176613013,-0.752511256,-0.428518664,-1.00844808,-0.223909349,0.553652816,-0.395104563,0.118445805,0.086066295,0.502975284,-0.061375649
1932,-1.492407117,0.18311085,-0.436342381,0.886145149,0,0.216369819,0.109775859,0.255545743,-0.235918843,1.030442235,0.57477703,0.637702038,0.157624204,-0.726891135,-0.314471678,-0.936922924,-0.175311211,0.512642956,-0.744833097,0.037283013,-0.164382017,0.562333636,-0.076659759
1933,-1.029756233,-0.184868963,-0.664156349,0.46289891,0,0.248857323,-0.224042529,-0.218914104,-0.417254032,1.002523577,0.696934229,0.472690025,0.311165474,-1.060541246,-0.469748384,-1.072935335,0.519030889,0.105115936,0.729800827,0.27945952,0.426172312,0.248174315,-0.149835652
